t,X,Y,Z,p
1040.0,968446.9560344035,5625064.732581564,2845986.867084033,20698272.19893575
1045.0,968443.8439935091,5625069.38356231,2845978.733430911,20697172.292962827
1050.0,968441.363099336,5625073.161080553,2845972.1113759237,20696076.406425133
1055.0,968439.0019909065,5625076.070195428,2845967.1649436885,20694984.77445512
1060.0,968436.2375798369,5625078.2009687945,2845963.894136377,20693897.607999973
1065.0,968432.5862544565,5625079.719648962,2845962.1349333613,20692815.0736209
1070.0,968427.6512195923,5625080.8523969455,2845961.5753468224,20691737.27762765
1075.0,968421.1613378143,5625081.863148255,2845961.7859615884,20690664.256070036
1080.0,968412.9976699997,5625083.027777325,2845962.261969627,20689595.97153876
1085.0,968403.2051173461,5625084.607093466,2845962.472584381,20688532.317067903
1090.0,968391.9880254825,5625086.821311617,2845961.9129978577,20687473.126744907
1095.0,968379.6901812868,5625089.8284968,2845960.153794538,20686418.191986885
1100.0,968366.7611607106,5625093.709092157,2845956.882985223,20685367.2818978
1105.0,968353.7123217743,5625098.458045014,2845951.936546407,20684320.165730774
1110.0,968341.0667503187,5625103.985301731,2845945.314475919,20683276.63528152
1115.0,968329.3080578665,5625110.12462286,2845937.1807932737,20682236.525051117
1120.0,968318.8330432588,5625116.649855793,2845927.8474846943,20681199.728236876
1125.0,968309.9128515832,5625123.29707205,2845917.7439642614,20680166.207017727
1130.0,968302.6664323255,5625129.790402252,2845907.375040369,20679135.996155057
1135.0,968297.0488949397,5625135.869039927,2845897.2715018676,20678109.199577447
1140.0,968292.8559019591,5625141.3127707625,2845887.938160751,20677085.980295844
1145.0,968289.7436699776,5625145.9635283435,2845879.8044373393,20676066.544638637
1150.0,968287.2626209492,5625149.7408663435,2845873.182325126,20675051.122341752
1155.0,968284.9013899331,5625152.649832667,2845868.2358501446,20674039.944425628
1160.0,968282.1368814245,5625154.780474843,2845864.9650145676,20673033.220999643
1165.0,968278.4854741696,5625156.299025155,2845863.20579635,20672031.121136717
1170.0,968273.5503618885,5625157.431628453,2845862.6462049745,20671033.756755684
1175.0,968267.060395609,5625158.442205542,2845862.8568215608,20670041.17205777
1180.0,968258.896625359,5625159.606619038,2845863.3328337125,20669053.339523602
1185.0,968249.1039432426,5625161.185670477,2845863.5434502866,20668070.16284152
1190.0,968237.8866884408,5625163.399571843,2845862.9838589276,20667091.486468058
1195.0,968225.588644661,5625166.406390295,2845861.2246404057,20666117.110882234
1200.0,968212.6593882708,5625170.286575997,2845857.9538028254,20665146.812047865
1205.0,968199.6102812542,5625175.035087508,2845853.007321264,20664180.36319582
1210.0,968186.9644165724,5625180.561885514,2845846.38519355,20663217.556818806
1215.0,968175.2054153315,5625186.700746599,2845838.251440616,20662258.224755906
1220.0,968164.7300874788,5625193.225534314,2845828.9180513816,20661302.254433572
1225.0,968155.8095896438,5625199.872334886,2845818.814443638,20660349.599705093
1230.0,968148.5628821615,5625206.36529076,2845808.4454301423,20659400.28525549
1235.0,968142.9450835786,5625212.44360323,2845798.3418043307,20658454.404161923
1240.0,968138.7518628762,5625217.887060945,2845789.00838256,20657512.108860686
1245.0,968135.6394398186,5625222.537595352,2845780.874588862,20656573.596407585
1250.0,968133.1582359438,5625226.314753101,2845774.252419424,20655639.089466635
1255.0,968130.7968823487,5625229.223570868,2845769.305901698,20654708.814870846
1260.0,968128.0322764071,5625231.3540818505,2845766.0350378565,20653782.981828954
1265.0,968124.380787283,5625232.872502301,2845764.2758044368,20652861.761881102
1270.0,968119.4455975911,5625234.00496091,2845763.7162082256,20651945.272533208
1275.0,968112.9555468165,5625235.015363773,2845763.926826632,20651033.566140335
1280.0,968104.7916741392,5625236.179561688,2845764.4028428975,20650126.62509935
1285.0,968094.99886257,5625237.758348423,2845764.6134612914,20649224.36380029
1290.0,968083.7814448423,5625239.971932996,2845764.053865097,20648326.637132663
1295.0,968071.483201493,5625242.978384706,2845762.2946313727,20647433.25471125
1300.0,968058.553709306,5625246.8581607435,2845759.023765528,20646543.999436345
1305.0,968045.5043342271,5625251.606230894,2845754.0772412224,20645658.648588408
1310.0,968032.8581763391,5625257.132570175,2845747.455056284,20644776.99541716
1315.0,968021.0988663299,5625263.2709712,2845739.3212330644,20643898.869142063
1320.0,968010.6232252521,5625269.795313682,2845729.987763178,20643024.151439257
1325.0,968001.7024212773,5625276.441698558,2845719.8840681273,20642152.78783307
1330.0,967994.455425588,5625282.934280089,2845709.514965031,20641284.792905338
1335.0,967988.8373658237,5625289.012267341,2845699.411251913,20640420.248833917
1340.0,967984.643917413,5625294.455451925,2845690.077749491,20639559.297416132
1345.0,967981.5313032907,5625299.105763153,2845681.943885508,20638702.126360588
1350.0,967979.0499445787,5625302.882740644,2845675.321658848,20637848.95118149
1355.0,967976.6884684118,5625305.791409848,2845670.375098379,20636999.99445074
1360.0,967973.923765043,5625307.921789632,2845667.104206274,20636155.464413777
1365.0,967970.2721940555,5625309.440080217,2845665.3449576525,20635315.535032313
1370.0,967965.3369269582,5625310.572394134,2845664.785356606,20634480.329374872
1375.0,967958.8467916957,5625311.582622768,2845664.9959768327,20633649.907949135
1380.0,967950.682816599,5625312.746605096,2845665.471997211,20632824.26309025
1385.0,967940.8898755871,5625314.325127118,2845665.6826174245,20632003.31993286
1390.0,967929.6722949462,5625316.538394892,2845665.1230163947,20631186.943858877
1395.0,967917.3738520421,5625319.54447985,2845663.363767469,20630374.953688964
1400.0,967904.4441240744,5625323.4238462085,2845660.092873361,20629567.139333718
1405.0,967891.3944809521,5625328.171474987,2845655.1463063126,20628763.282193515
1410.0,967878.7480298773,5625333.697355528,2845648.524064153,20627963.176335063
1415.0,967866.98841112,5625339.83529648,2845640.390170649,20627166.64840194
1420.0,967856.5124568375,5625346.359193715,2845631.0566201136,20626373.574343212
1425.0,967847.5913467419,5625353.00516288,2845620.952837758,20625583.891354784
1430.0,967840.3440628635,5625359.497370055,2845610.5836450644,20624797.603892952
1435.0,967834.7257419337,5625365.575032077,2845600.479844643,20624014.78319321
1440.0,967830.5320658281,5625371.017943521,2845591.146261573,20623235.56035423
1445.0,967827.4192606523,5625375.668031559,2845583.0123273074,20622460.113666795
1450.0,967824.9377471121,5625379.444828786,2845576.390043427,20621688.651420478
1455.0,967822.5761483808,5625382.353349421,2845571.4434402166,20620921.391854063
1460.0,967819.8113475912,5625384.483598002,2845568.1725198487,20620158.54218739
1465.0,967816.1596947458,5625386.001758719,2845566.413256027,20619400.278756913
1470.0,967811.2243502489,5625387.133927939,2845565.8536501448,20618646.73016675
1475.0,967804.7341305044,5625388.143982338,2845566.0642721914,20617897.965072423
1480.0,967796.5700529969,5625389.307749076,2845566.5402966826,20617153.98576504
1485.0,967786.7769825523,5625390.886006378,2845566.7509187167,20616414.72816214
1490.0,967775.5592390102,5625393.098957342,2845566.191312851,20615680.068193026
1495.0,967763.2605965657,5625396.104675539,2845564.4320487245,20614949.833950486
1500.0,967750.3306328347,5625399.98363221,2845561.161126354,20614223.822426386
1505.0,967737.2807216871,5625404.730819602,2845556.2145165647,20613501.819209807
1510.0,967724.6339774458,5625410.256241391,2845549.5922171846,20612783.619244274
1515.0,967712.8740499605,5625416.393722253,2845541.4582534,20612069.046642587
1520.0,967702.3977824934,5625422.917174227,2845532.124622218,20611357.97165272
1525.0,967693.4763662963,5625429.5627276655,2845522.020752561,20610650.32314647
1530.0,967686.2287942463,5625436.054560472,2845511.6514702733,20609946.0954368
1535.0,967680.6102121669,5625442.131897254,2845501.5475825504,20609245.34877867
1540.0,967676.41630838,5625447.574535546,2845492.2139188354,20608548.203517113
1545.0,967673.3033121619,5625452.224400385,2845484.0799142905,20607854.828458577
1550.0,967670.8216438028,5625456.001017341,2845477.4575731913,20607165.424596254
1555.0,967668.459922514,5625458.909389403,2845472.510927241,20606480.20576564
1560.0,967665.6950243101,5625461.039506776,2845469.2399786115,20605799.378099013
1565.0,967662.043289612,5625462.55753762,2845467.480699589,20605123.120259613
1570.0,967657.1078677215,5625463.689562141,2845466.921088872,20604451.566357613
1575.0,967650.6175635019,5625464.699442301,2845467.1317127384,20603784.793188006
1580.0,967642.4533835911,5625465.8629934415,2845467.607741343,20603122.81301118
1585.0,967632.6601837241,5625467.440986018,2845467.818365196,20602465.572561156
1590.0,967621.4422772932,5625469.653620166,2845467.258754496,20601812.958365116
1595.0,967609.143435323,5625472.65897159,2845465.499475169,20601164.80785028
1600.0,967596.2132358452,5625476.537518562,2845462.2285245364,20600520.925157852
1605.0,967583.1630566911,5625481.284264553,2845457.2818720075,20599881.100132752
1610.0,967570.5160193024,5625486.809227576,2845450.6595154097,20599245.128655005
1615.0,967558.7557831102,5625492.946248335,2845442.525481346,20598612.83235309
1620.0,967548.2792024784,5625499.469255033,2845433.1917695203,20597984.075802572
1625.0,967539.3574801988,5625506.114392732,2845423.0878125653,20597358.779559284
1630.0,967532.1096199953,5625512.605851157,2845412.7184406864,20596736.927779697
1635.0,967526.490776782,5625518.682862685,2845402.614465666,20596118.56970494
1640.0,967522.2966453272,5625524.1252278155,2845393.280721308,20595503.81487623
1645.0,967519.1834580783,5625528.774869449,2845385.1466464857,20594892.822553307
