t,X,Y,Z
11240.0,952708.6638504975,5632845.494370559,2835891.7183795096
11245.0,952705.5323766222,5632850.122544616,2835883.577569445
11250.0,952703.0357340659,5632853.881642373,2835876.949687616
11255.0,952700.6621595697,5632856.775576571,2835871.998902954
11260.0,952697.8878411844,5632858.892945527,2835868.725217624
11265.0,952694.2281932184,5632860.398360138,2835866.9644666696
11270.0,952689.2852913616,5632861.516330396,2835866.4043877446
11275.0,952682.786824461,5632862.509288815,2835866.6151878326
11280.0,952674.6127499761,5632863.651901968,2835867.091614715
11285.0,952664.8070440026,5632865.204184676,2835867.3024147907
11290.0,952653.5733959408,5632867.386048532,2835866.742335882
11295.0,952641.2552695494,5632870.355776041,2835864.981584624
11300.0,952628.302282397,5632874.194527372,2835861.7078972976
11305.0,952615.2261947814,5632878.898396242,2835856.7571060793
11310.0,952602.5508160983,5632884.378792545,2835850.1292088036
11315.0,952590.760731874,5632890.471114258,2835841.98836932
11320.0,952580.253870054,5632896.950859811,2835832.6468483824
11325.0,952571.3025494076,5632903.555603754,2835822.534437921
11330.0,952564.0268227922,5632910.010684614,2835812.156390514
11335.0,952558.3827247204,5632916.056090445,2835802.0439620484
11340.0,952554.1665739248,5632921.4719103165,2835792.702408688
11345.0,952551.03491011,5632926.099860339,2835784.561528584
11350.0,952548.5381136269,5632929.858777149,2835777.933589731
11355.0,952546.1644172922,5632932.752562232,2835772.9827624746
11360.0,952543.3900020915,5632934.869799543,2835769.70904898
11365.0,952539.730272818,5632936.375083896,2835767.948282876
11370.0,952534.7872941293,5632937.492909078,2835767.3881991324
11375.0,952528.2887434014,5632938.4856928345,2835767.5990010346
11380.0,952520.114567308,5632939.628089874,2835768.0754320156
11385.0,952510.3087328996,5632941.180107208,2835768.286233905
11390.0,952499.0749231575,5632943.361653441,2835767.726150178
11395.0,952486.7565986757,5632946.33101321,2835765.965383771
11400.0,952473.8033774219,5632950.169353712,2835762.69166828
11405.0,952460.727023619,5632954.872779921,2835757.740834467
11410.0,952448.0513537272,5632960.35271609,2835751.1128801685
11415.0,952436.2609627881,5632966.444576278,2835742.971970646
11420.0,952425.7537897796,5632972.923875128,2835733.6303693396
11425.0,952416.8021649407,5632979.528201949,2835723.517871877
11430.0,952409.5261519148,5632985.982907139,2835713.1397351846
11435.0,952403.8817942592,5632992.027986561,2835703.027219719
11440.0,952399.665417125,5632997.443532269,2835693.685585991
11445.0,952396.5335633818,5633002.071258251,2835685.5446358486
11450.0,952394.0366129809,5633005.829994104,2835678.916639975
11455.0,952391.662794815,5633008.723630069,2835673.9657701254
11460.0,952388.8882828049,5633010.840735728,2835670.6920284666
11465.0,952385.2284722296,5633012.3458898235,2835668.931247215
11470.0,952380.2854167146,5633013.463569922,2835668.3711586525
11475.0,952373.7867821661,5633014.456179013,2835668.581962368
11480.0,952365.6125044726,5633015.598359933,2835669.0583974477
11485.0,952355.8065416395,5633017.150111886,2835669.2692011506
11490.0,952344.5725702296,5633019.331340493,2835668.709112605
11495.0,952332.2540476718,5633022.300332509,2835666.94833105
11500.0,952319.3005923334,5633026.138262172,2835663.6745873946
11505.0,952306.2239723614,5633030.841245703,2835658.7237109896
11510.0,952293.5480112812,5633036.320721725,2835652.0956996703
11515.0,952281.7573136475,5633042.412120374,2835643.954720111
11520.0,952271.2498294704,5633048.890972504,2835634.6130384384
11525.0,952262.2979004589,5633055.494882192,2835624.5004539783
11530.0,952255.0216010401,5633061.949211699,2835614.1222280036
11535.0,952249.3769838163,5633067.9939647,2835604.00962554
11540.0,952245.1603803573,5633073.4092362365,2835594.6679114476
11545.0,952242.0283366969,5633078.036738167,2835586.52689127
11550.0,952239.5312323874,5633081.795293058,2835579.898838376
11555.0,952237.1572923979,5633084.688779898,2835574.9479259364
11560.0,952234.3826835845,5633086.805753903,2835571.6741561135
11565.0,952230.722791713,5633088.310777736,2835569.9133597147
11570.0,952225.7796593772,5633089.428312747,2835569.353266334
11575.0,952219.2809410149,5633090.4207471665,2835569.564071863
11580.0,952211.1065617288,5633091.562711962,2835570.0405110414
11585.0,952201.3004704813,5633093.114198528,2835570.2513165576
11590.0,952190.0663374158,5633095.295109496,2835569.691223194
11595.0,952177.7476167969,5633098.263733753,2835567.9304264914
11600.0,952164.7939273908,5633102.101252566,2835564.6566546727
11605.0,952151.7170412684,5633106.803793406,2835559.7057356765
11610.0,952139.0407890194,5633112.282809269,2835553.0776673383
11615.0,952127.2497847117,5633118.373746363,2835544.9366177446
11620.0,952116.7419893863,5633124.85215176,2835535.594855709
11625.0,952107.7897562211,5633131.4556443,2835525.482184254
11630.0,952100.5131704275,5633137.909598111,2835515.103869
11635.0,952094.8682936511,5633143.954024678,2835504.9911795426
11640.0,952090.6514638809,5633149.369022032,2835495.649385088
11645.0,952087.5192303145,5633153.996299904,2835487.5082948776
11650.0,952085.0219721058,5633157.7546738265,2835480.8801849666
11655.0,952082.6479103,5633160.648011536,2835475.9292299366
11660.0,952079.8732046892,5633162.764853882,2835472.655431952
11665.0,952076.213231527,5633164.269747446,2835470.894620405
11670.0,952071.2700223766,5633165.387137369,2835470.334522207
11675.0,952064.7712202069,5633166.379397112,2835470.545329549
